POPID,Female,Male,Chromosomes,Group,FemaleGM,MaleGM
POP001,ICE49,ICE21,NA,Normal,42,36
POP002,ICE49,ICE61,NA,Normal,42,45
POP003,ICE49,ICE71,NA,Normal,42,48
POP009,ICE49,ICE226,NA,Normal,42,37
POP013,ICE49,Qui-0,NA,Normal,42,70
POP014,ICE49,Star-8,NA,Normal,42,73
POP015,ICE49,Tuescha9,NA,Normal,42,75
POP016,ICE49,WalhaesB4,NA,Normal,42,80
POP017,ICE49,Yeg-1,NA,Normal,42,82
POP108,Nie1-2,ICE49,NA,Normal,67,42
POP176,ICE70,ICE49,NA,Normal,47,42
POP189,ICE73,ICE49,NA,Normal,50,42
POP220,ICE92,ICE49,NA,Normal,55,42
POP447,Fei-0,ICE49,NA,Normal,11,42
POP477,Mer-6,ICE49,NA,Normal,66,42
POP523,Star-8,ICE49,NA,Normal,73,42
POP004,ICE49,ICE91,Chr1,Distorted,42,54
POP005,ICE49,ICE107,Chr1,Distorted,42,16
POP006,ICE49,ICE150,Chr1,Distorted,42,25
POP007,ICE49,ICE153,Chr1,Distorted,42,27
POP008,ICE49,ICE169,Chr1,Distorted,42,29
POP010,ICE49,Cdm-0,Chr1,Distorted,42,6
POP011,ICE49,Koch-1,Chr1,Distorted,42,61
POP012,ICE49,Mer-6,Chr1,Distorted,42,66
POP454,HKT2.4,ICE49,Chr1,Distorted,12,42
POP515,Sha,ICE49,Chr1,Distorted,72,42
POP531,TueSB30-3,ICE49,NA,NA,74,42
